Date : 2025-12-03 19:08:01
Directory : d:\Project\PHP\Luminode\Open_Luminode
Total : 595 files,  54503 codes, 17500 comments, 10634 blanks, all 82637 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\monolog\monolog\src\Monolog\Processor\UidProcessor.php                                | PHP          |         32 |         24 |         12 |         68 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\monolog\monolog\src\Monolog\Processor\WebProcessor.php                                | PHP          |         61 |         39 |         16 |        116 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\monolog\monolog\src\Monolog\Registry.php                                              | PHP          |         48 |         70 |         16 |        134 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\monolog\monolog\src\Monolog\ResettableInterface.php                                   | PHP          |          6 |         22 |          4 |         32 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\monolog\monolog\src\Monolog\SignalHandler.php                                         | PHP          |         70 |         26 |         18 |        114 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\monolog\monolog\src\Monolog\Test\MonologTestCase.php                                  | PHP          |         42 |         22 |          8 |         72 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\monolog\monolog\src\Monolog\Test\TestCase.php                                         | PHP          |          5 |         15 |          4 |         24 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\monolog\monolog\src\Monolog\Utils.php                                                 | PHP          |        150 |         70 |         38 |        258 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\php-di\invoker\README.md                                                              | Markdown     |        162 |          0 |         73 |        235 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\php-di\invoker\composer.json                                                          | JSON         |         32 |          0 |          1 |         33 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\php-di\invoker\src\CallableResolver.php                                               | PHP          |         76 |         30 |         19 |        125 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\php-di\invoker\src\Exception\InvocationException.php                                  | PHP          |          5 |          3 |          3 |         11 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\php-di\invoker\src\Exception\NotCallableException.php                                 | PHP          |         22 |          6 |          6 |         34 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\php-di\invoker\src\Exception\NotEnoughParametersException.php                         | PHP          |          5 |          3 |          3 |         11 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\php-di\invoker\src\Invoker.php                                                        | PHP          |         71 |         20 |         19 |        110 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\php-di\invoker\src\InvokerInterface.php                                               | PHP          |          9 |         13 |          4 |         26 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\php-di\invoker\src\ParameterResolver\AssociativeArrayResolver.php                     | PHP          |         22 |          9 |          7 |         38 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\php-di\invoker\src\ParameterResolver\Container\ParameterNameContainerResolver.php     | PHP          |         30 |          8 |         10 |         48 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\php-di\invoker\src\ParameterResolver\Container\TypeHintContainerResolver.php          | PHP          |         44 |         11 |         11 |         66 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\php-di\invoker\src\ParameterResolver\DefaultValueResolver.php                         | PHP          |         32 |          5 |          7 |         44 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\php-di\invoker\src\ParameterResolver\NumericArrayResolver.php                         | PHP          |         21 |         11 |          6 |         38 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\php-di\invoker\src\ParameterResolver\ParameterResolver.php                            | PHP          |         11 |         16 |          4 |         31 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\php-di\invoker\src\ParameterResolver\ResolverChain.php                                | PHP          |         38 |         13 |         11 |         62 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\php-di\invoker\src\ParameterResolver\TypeHintResolver.php                             | PHP          |         37 |          9 |          9 |         55 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\php-di\invoker\src\Reflection\CallableReflection.php                                  | PHP          |         34 |         13 |         10 |         57 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\php-di\php-di\README.md                                                               | Markdown     |         13 |          0 |          9 |         22 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\php-di\php-di\change-log.md                                                           | Markdown     |        301 |          0 |        140 |        441 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\php-di\php-di\composer.json                                                           | JSON         |         45 |          0 |          1 |         46 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\php-di\php-di\src\Attribute\Inject.php                                                | PHP          |         36 |         28 |         11 |         75 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\php-di\php-di\src\Attribute\Injectable.php                                            | PHP          |         16 |         13 |          6 |         35 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\php-di\php-di\src\CompiledContainer.php                                               | PHP          |         74 |         22 |         21 |        117 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\php-di\php-di\src\Compiler\Compiler.php                                               | PHP          |        279 |         70 |         54 |        403 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\php-di\php-di\src\Compiler\ObjectCreationCompiler.php                                 | PHP          |        150 |         18 |         31 |        199 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\php-di\php-di\src\Compiler\RequestedEntryHolder.php                                   | PHP          |         15 |          3 |          6 |         24 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\php-di\php-di\src\Compiler\Template.php                                               | PHP          |         10 |          3 |          4 |         17 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\php-di\php-di\src\Container.php                                                       | PHP          |        225 |        119 |         61 |        405 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\php-di\php-di\src\ContainerBuilder.php                                                | PHP          |        148 |        139 |         50 |        337 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\php-di\php-di\src\Definition\ArrayDefinition.php                                      | PHP          |         44 |          7 |         15 |         66 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\php-di\php-di\src\Definition\ArrayDefinitionExtension.php                             | PHP          |         25 |          6 |          9 |         40 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\php-di\php-di\src\Definition\AutowireDefinition.php                                   | PHP          |          6 |          3 |          4 |         13 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\php-di\php-di\src\Definition\DecoratorDefinition.php                                  | PHP          |         22 |          7 |          8 |         37 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\php-di\php-di\src\Definition\Definition.php                                           | PHP          |         11 |         19 |          8 |         38 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\php-di\php-di\src\Definition\Dumper\ObjectDefinitionDumper.php                        | PHP          |         86 |         25 |         34 |        145 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\php-di\php-di\src\Definition\EnvironmentVariableDefinition.php                        | PHP          |         52 |         21 |         15 |         88 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\php-di\php-di\src\Definition\Exception\InvalidAttribute.php                           | PHP          |          6 |          5 |          4 |         15 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\php-di\php-di\src\Definition\Exception\InvalidDefinition.php                          | PHP          |         16 |          5 |          5 |         26 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\php-di\php-di\src\Definition\ExtendsPreviousDefinition.php                            | PHP          |          7 |          5 |          4 |         16 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\php-di\php-di\src\Definition\FactoryDefinition.php                                    | PHP          |         39 |         27 |         13 |         79 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\php-di\php-di\src\Definition\Helper\AutowireDefinitionHelper.php                      | PHP          |         25 |         36 |         12 |         73 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\php-di\php-di\src\Definition\Helper\CreateDefinitionHelper.php                        | PHP          |         90 |         68 |         32 |        190 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\php-di\php-di\src\Definition\Helper\DefinitionHelper.php                              | PHP          |          8 |          8 |          5 |         21 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\php-di\php-di\src\Definition\Helper\FactoryDefinitionHelper.php                       | PHP          |         28 |         24 |         12 |         64 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\php-di\php-di\src\Definition\InstanceDefinition.php                                   | PHP          |         34 |         11 |         10 |         55 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\php-di\php-di\src\Definition\ObjectDefinition.php                                     | PHP          |        153 |         44 |         46 |        243 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\php-di\php-di\src\Definition\ObjectDefinition\MethodInjection.php                     | PHP          |         47 |         16 |         14 |         77 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\php-di\php-di\src\Definition\ObjectDefinition\PropertyInjection.php                   | PHP          |         31 |         20 |         11 |         62 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\php-di\php-di\src\Definition\Reference.php                                            | PHP          |         42 |         10 |         13 |         65 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\php-di\php-di\src\Definition\Resolver\ArrayResolver.php                               | PHP          |         43 |         24 |         10 |         77 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\php-di\php-di\src\Definition\Resolver\DecoratorResolver.php                           | PHP          |         41 |         21 |         13 |         75 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\php-di\php-di\src\Definition\Resolver\DefinitionResolver.php                          | PHP          |         11 |         26 |          6 |         43 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\php-di\php-di\src\Definition\Resolver\EnvironmentVariableResolver.php                 | PHP          |         42 |         14 |         14 |         70 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\php-di\php-di\src\Definition\Resolver\FactoryResolver.php                             | PHP          |         77 |         21 |         15 |        113 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\php-di\php-di\src\Definition\Resolver\InstanceInjector.php                            | PHP          |         28 |         15 |          8 |         51 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\php-di\php-di\src\Definition\Resolver\ObjectCreator.php                               | PHP          |        124 |         52 |         28 |        204 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\php-di\php-di\src\Definition\Resolver\ParameterResolver.php                           | PHP          |         69 |         23 |         15 |        107 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\php-di\php-di\src\Definition\Resolver\ResolverDispatcher.php                          | PHP          |         81 |         26 |         19 |        126 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\php-di\php-di\src\Definition\SelfResolvingDefinition.php                              | PHP          |          9 |         11 |          6 |         26 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\php-di\php-di\src\Definition\Source\AttributeBasedAutowiring.php                      | PHP          |        175 |         49 |         40 |        264 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\php-di\php-di\src\Definition\Source\Autowiring.php                                    | PHP          |          9 |         10 |          5 |         24 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\php-di\php-di\src\Definition\Source\DefinitionArray.php                               | PHP          |         67 |         22 |         24 |        113 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\php-di\php-di\src\Definition\Source\DefinitionFile.php                                | PHP          |         36 |         12 |         15 |         63 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\php-di\php-di\src\Definition\Source\DefinitionNormalizer.php                          | PHP          |         70 |         25 |         18 |        113 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\php-di\php-di\src\Definition\Source\DefinitionSource.php                              | PHP          |         10 |         13 |          6 |         29 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\php-di\php-di\src\Definition\Source\MutableDefinitionSource.php                       | PHP          |          8 |          5 |          5 |         18 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\php-di\php-di\src\Definition\Source\NoAutowiring.php                                  | PHP          |         15 |          5 |          5 |         25 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\php-di\php-di\src\Definition\Source\ReflectionBasedAutowiring.php                     | PHP          |         54 |         16 |         16 |         86 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\php-di\php-di\src\Definition\Source\SourceCache.php                                   | PHP          |         51 |         12 |         15 |         78 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\php-di\php-di\src\Definition\Source\SourceChain.php                                   | PHP          |         54 |         16 |         21 |         91 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\php-di\php-di\src\Definition\StringDefinition.php                                     | PHP          |         63 |         12 |         16 |         91 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\php-di\php-di\src\Definition\ValueDefinition.php                                      | PHP          |         39 |          9 |         13 |         61 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\php-di\php-di\src\DependencyException.php                                             | PHP          |          7 |          3 |          5 |         15 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\php-di\php-di\src\FactoryInterface.php                                                | PHP          |          7 |         20 |          4 |         31 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\php-di\php-di\src\Factory\RequestedEntry.php                                          | PHP          |          7 |         13 |          4 |         24 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\php-di\php-di\src\Invoker\DefinitionParameterResolver.php                             | PHP          |         44 |         10 |         11 |         65 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\php-di\php-di\src\Invoker\FactoryParameterResolver.php                                | PHP          |         45 |         14 |         11 |         70 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\php-di\php-di\src\NotFoundException.php                                               | PHP          |          7 |          3 |          5 |         15 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\php-di\php-di\src\Proxy\NativeProxyFactory.php                                        | PHP          |         18 |         13 |          8 |         39 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\php-di\php-di\src\Proxy\ProxyFactory.php                                              | PHP          |         51 |         27 |         14 |         92 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\php-di\php-di\src\Proxy\ProxyFactoryInterface.php                                     | PHP          |          8 |         20 |          5 |         33 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\php-di\php-di\src\functions.php                                                       | PHP          |         69 |         71 |         15 |        155 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\php-di\php-di\support.md                                                              | Markdown     |         27 |          0 |         16 |         43 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\phpoption\phpoption\composer.json                                                     | JSON         |         50 |          0 |          1 |         51 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\phpoption\phpoption\src\PhpOption\LazyOption.php                                      | PHP          |        105 |         41 |         30 |        176 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\phpoption\phpoption\src\PhpOption\None.php                                            | PHP          |         88 |         23 |         26 |        137 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\phpoption\phpoption\src\PhpOption\Option.php                                          | PHP          |         88 |        313 |         34 |        435 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\phpoption\phpoption\src\PhpOption\Some.php                                            | PHP          |        104 |         35 |         31 |        170 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\psr\container\README.md                                                               | Markdown     |          8 |          0 |          6 |         14 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\psr\container\composer.json                                                           | JSON         |         27 |          0 |          1 |         28 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\psr\container\src\ContainerExceptionInterface.php                                     | PHP          |          6 |          3 |          4 |         13 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\psr\container\src\ContainerInterface.php                                              | PHP          |          8 |         24 |          5 |         37 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\psr\container\src\NotFoundExceptionInterface.php                                      | PHP          |          5 |          3 |          3 |         11 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\psr\log\README.md                                                                     | Markdown     |         43 |          0 |         16 |         59 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\psr\log\composer.json                                                                 | JSON         |         26 |          0 |          1 |         27 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\psr\log\src\AbstractLogger.php                                                        | PHP          |          6 |          7 |          3 |         16 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\psr\log\src\InvalidArgumentException.php                                              | PHP          |          5 |          0 |          3 |          8 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\psr\log\src\LogLevel.php                                                              | PHP          |         13 |          3 |          3 |         19 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\psr\log\src\LoggerAwareInterface.php                                                  | PHP          |          6 |          6 |          3 |         15 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\psr\log\src\LoggerAwareTrait.php                                                      | PHP          |         10 |          9 |          4 |         23 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\psr\log\src\LoggerInterface.php                                                       | PHP          |         14 |         74 |         11 |         99 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\psr\log\src\LoggerTrait.php                                                           | PHP          |         38 |         50 |         11 |         99 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\psr\log\src\NullLogger.php                                                            | PHP          |          8 |         16 |          3 |         27 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\symfony\console\Application.php                                                       | PHP          |        879 |        251 |        202 |      1,332 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\symfony\console\Attribute\AsCommand.php                                               | PHP          |         22 |         11 |          7 |         40 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\symfony\console\CHANGELOG.md                                                          | Markdown     |        207 |          0 |         55 |        262 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\symfony\console\CI\GithubActionReporter.php                                           | PHP          |         48 |         36 |         16 |        100 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\symfony\console\Color.php                                                             | PHP          |        102 |         11 |         21 |        134 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\symfony\console\CommandLoader\CommandLoaderInterface.php                              | PHP          |         10 |         22 |          7 |         39 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\symfony\console\CommandLoader\ContainerCommandLoader.php                              | PHP          |         30 |         16 |         10 |         56 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\symfony\console\CommandLoader\FactoryCommandLoader.php                                | PHP          |         28 |         16 |         11 |         55 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\symfony\console\Command\Command.php                                                   | PHP          |        358 |        271 |         97 |        726 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\symfony\console\Command\CompleteCommand.php                                           | PHP          |        157 |         26 |         41 |        224 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\symfony\console\Command\DumpCompletionCommand.php                                     | PHP          |        105 |         22 |         35 |        162 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\symfony\console\Command\HelpCommand.php                                               | PHP          |         48 |         19 |         16 |         83 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\symfony\console\Command\LazyCommand.php                                               | PHP          |        144 |         21 |         43 |        208 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\symfony\console\Command\ListCommand.php                                               | PHP          |         46 |         16 |         14 |         76 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\symfony\console\Command\LockableTrait.php                                             | PHP          |         38 |         19 |         12 |         69 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\symfony\console\Command\SignalableCommandInterface.php                                | PHP          |          7 |         23 |          5 |         35 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\symfony\console\Command\TraceableCommand.php                                          | PHP          |        244 |         36 |         77 |        357 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\symfony\console\Completion\CompletionInput.php                                        | PHP          |        149 |         60 |         40 |        249 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\symfony\console\Completion\CompletionSuggestions.php                                  | PHP          |         40 |         43 |         15 |         98 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\symfony\console\Completion\Output\BashCompletionOutput.php                            | PHP          |         18 |         11 |          5 |         34 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\symfony\console\Completion\Output\CompletionOutputInterface.php                       | PHP          |          8 |         13 |          5 |         26 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\symfony\console\Completion\Output\FishCompletionOutput.php                            | PHP          |         18 |         11 |          5 |         34 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\symfony\console\Completion\Output\ZshCompletionOutput.php                             | PHP          |         21 |         11 |          5 |         37 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\symfony\console\Completion\Suggestion.php                                             | PHP          |         22 |         13 |          7 |         42 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\symfony\console\ConsoleEvents.php                                                     | PHP          |         19 |         45 |          9 |         73 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\symfony\console\Cursor.php                                                            | PHP          |         97 |         66 |         42 |        205 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\symfony\console\DataCollector\CommandDataCollector.php                                | PHP          |        164 |         36 |         35 |        235 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\symfony\console\Debug\CliRequest.php                                                  | PHP          |         47 |         12 |         12 |         71 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\symfony\console\DependencyInjection\AddConsoleCommandPass.php                         | PHP          |         94 |         16 |         25 |        135 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\symfony\console\Descriptor\ApplicationDescription.php                                 | PHP          |         89 |         26 |         25 |        140 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\symfony\console\Descriptor\Descriptor.php                                             | PHP          |         34 |         28 |         13 |         75 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\symfony\console\Descriptor\DescriptorInterface.php                                    | PHP          |          7 |         16 |          5 |         28 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\symfony\console\Descriptor\JsonDescriptor.php                                         | PHP          |        123 |         18 |         26 |        167 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\symfony\console\Descriptor\MarkdownDescriptor.php                                     | PHP          |        131 |         15 |         28 |        174 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\symfony\console\Descriptor\ReStructuredTextDescriptor.php                             | PHP          |        218 |         20 |         35 |        273 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\symfony\console\Descriptor\TextDescriptor.php                                         | PHP          |        236 |         32 |         50 |        318 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\symfony\console\Descriptor\XmlDescriptor.php                                          | PHP          |        168 |         21 |         44 |        233 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\symfony\console\EventListener\ErrorListener.php                                       | PHP          |         62 |         18 |         22 |        102 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\symfony\console\Event\ConsoleCommandEvent.php                                         | PHP          |         19 |         28 |          8 |         55 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\symfony\console\Event\ConsoleErrorEvent.php                                           | PHP          |         33 |         13 |         12 |         58 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\symfony\console\Event\ConsoleEvent.php                                                | PHP          |         30 |         22 |         10 |         62 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\symfony\console\Event\ConsoleSignalEvent.php                                          | PHP          |         35 |         11 |         11 |         57 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\symfony\console\Event\ConsoleTerminateEvent.php                                       | PHP          |         29 |         14 |          8 |         51 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\symfony\console\Exception\CommandNotFoundException.php                                | PHP          |         15 |         22 |          7 |         44 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\symfony\console\Exception\ExceptionInterface.php                                      | PHP          |          5 |         13 |          4 |         22 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\symfony\console\Exception\InvalidArgumentException.php                                | PHP          |          5 |         11 |          4 |         20 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\symfony\console\Exception\InvalidOptionException.php                                  | PHP          |          5 |         13 |          4 |         22 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\symfony\console\Exception\LogicException.php                                          | PHP          |          5 |         11 |          4 |         20 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\symfony\console\Exception\MissingInputException.php                                   | PHP          |          5 |         13 |          4 |         22 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\symfony\console\Exception\NamespaceNotFoundException.php                              | PHP          |          5 |         13 |          4 |         22 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\symfony\console\Exception\RunCommandFailedException.php                               | PHP          |         14 |         11 |          5 |         30 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\symfony\console\Exception\RuntimeException.php                                        | PHP          |          5 |         11 |          4 |         20 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\symfony\console\Formatter\NullOutputFormatter.php                                     | PHP          |         28 |         14 |         10 |         52 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\symfony\console\Formatter\NullOutputFormatterStyle.php                                | PHP          |         30 |         16 |          9 |         55 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\symfony\console\Formatter\OutputFormatter.php                                         | PHP          |        194 |         47 |         50 |        291 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\symfony\console\Formatter\OutputFormatterInterface.php                                | PHP          |         11 |         37 |          9 |         57 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\symfony\console\Formatter\OutputFormatterStyle.php                                    | PHP          |         61 |         34 |         16 |        111 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\symfony\console\Formatter\OutputFormatterStyleInterface.php                           | PHP          |         11 |         41 |          9 |         61 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\symfony\console\Formatter\OutputFormatterStyleStack.php                               | PHP          |         54 |         35 |         19 |        108 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\symfony\console\Formatter\WrappableOutputFormatterInterface.php                       | PHP          |          6 |         18 |          4 |         28 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\symfony\console\Helper\DebugFormatterHelper.php                                       | PHP          |         57 |         24 |         18 |         99 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\symfony\console\Helper\DescriptorHelper.php                                           | PHP          |         49 |         32 |         13 |         94 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\symfony\console\Helper\Dumper.php                                                     | PHP          |         38 |         11 |          9 |         58 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\symfony\console\Helper\FormatterHelper.php                                            | PHP          |         46 |         22 |         14 |         82 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\symfony\console\Helper\Helper.php                                                     | PHP          |        106 |         39 |         36 |        181 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\symfony\console\Helper\HelperInterface.php                                            | PHP          |          8 |         26 |          6 |         40 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\symfony\console\Helper\HelperSet.php                                                  | PHP          |         36 |         30 |         12 |         78 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\symfony\console\Helper\InputAwareHelper.php                                           | PHP          |         12 |         16 |          6 |         34 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\symfony\console\Helper\OutputWrapper.php                                              | PHP          |         30 |         39 |          8 |         77 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\symfony\console\Helper\ProcessHelper.php                                              | PHP          |         75 |         39 |         24 |        138 |
| d:\Project\PHP\Luminode\Open_Luminode\vendor\symfony\console\Helper\ProgressBar.php                                                | PHP          |        406 |        119 |        103 |        628 |
